Alimentos,Categoria
Tripa suína,Carnes e vísceras
Figado suíno,Carnes e vísceras
Língua suína,Carnes e vísceras
Orelha suína fresca,Carnes e vísceras
Sarrabulho,Carnes e vísceras
Mocotó suíno,Carnes e vísceras
Carne de cabrito ,Carnes e vísceras
Carne de bode,Carnes e vísceras
Carne de bode ,Carnes e vísceras
Carne caprina,Carnes e vísceras
Carne de caprino,Carnes e vísceras
Carne de carneiro,Carnes e vísceras
Carne de ovelha,Carnes e vísceras
Mocotó de caprino,Carnes e vísceras
Pernil ,Carnes e vísceras
Lagarto bovino ,Carnes e vísceras
Alcatra suína,Carnes e vísceras
Alcatra suína ,Carnes e vísceras
Brachola,Carnes e vísceras
Bife role cru,Carnes e vísceras
Buchada de bode,Carnes e vísceras
Suã suína,Carnes e vísceras
Carne de outros animais,Carnes e vísceras
Carne da paca,Carnes e vísceras
Carne de jacaré,Carnes e vísceras
Carne de capivara,Carnes e vísceras
Carne de cotia,Carnes e vísceras
Carne de jabuti,Carnes e vísceras
Carne de primeira ,Carnes e vísceras
Chuleta,Carnes e vísceras
Filé não especificado,Carnes e vísceras
Miúdo de bode ,Carnes e vísceras
Pé suíno fresco,Carnes e vísceras
Carne bovina ,Carnes e vísceras
Carne bovina,Carnes e vísceras
Lombo não especificado,Carnes e vísceras
Músculo não especificado,Carnes e vísceras
Ossada não especificada,Carnes e vísceras
Carne de segunda ,Carnes e vísceras
Contrafilé orgânico,Carnes e vísceras
Bisteca orgânica,Carnes e vísceras
Cabeça de lombo (carne bovina) orgânica,Carnes e vísceras
Tatu (lagarto redondo) orgânico,Carnes e vísceras
"Peixe de mar (inteiro, em posta, em filé, etc.)  ",Pescados e frutos do mar
"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",Pescados e frutos do mar
Camarão,Pescados e frutos do mar
Camarão ,Pescados e frutos do mar
Siri,Pescados e frutos do mar
Bau (siri),Pescados e frutos do mar
Goiá,Pescados e frutos do mar
Caranguejo,Pescados e frutos do mar
Guaiamu,Pescados e frutos do mar
Marisco,Pescados e frutos do mar
Ostra,Pescados e frutos do mar
Lula,Pescados e frutos do mar
Sururu,Pescados e frutos do mar
Bacalhau,Pescados e frutos do mar
Ovas de peixe (qualquer espécie),Pescados e frutos do mar
"Peixe de água doce (inteiro, em posta, em filé, etc.) ",Pescados e frutos do mar
"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",Pescados e frutos do mar
Tracajá,Pescados e frutos do mar
"Peixe não especificado (inteiro, em posta, em filé, etc.)",Pescados e frutos do mar
"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",Pescados e frutos do mar
Azeitona,Enlatados e conservas
Ervilha em conserva,Enlatados e conservas
Petit-pois,Enlatados e conservas
Milho verde em conserva,Enlatados e conservas
Palmito em conserva,Enlatados e conservas
Cogumelo em conserva,Enlatados e conservas
Champignon em conserva,Enlatados e conservas
Aspargo em conserva,Enlatados e conservas
Repolho em conserva,Enlatados e conservas
Chucrute,Enlatados e conservas
Legume não especificado em conserva,Enlatados e conservas
Creme de cebola (sopa desidratada),Enlatados e conservas
Creme de legumes (sopa desidratada),Enlatados e conservas
Yakissoba ,Enlatados e conservas
Milho verde com ervilha em conserva,Enlatados e conservas
Feijoada,Enlatados e conservas
Feijão branco com dobradinha em conserva,Enlatados e conservas
Cozido,Enlatados e conservas
Pasta de carne em conserva,Enlatados e conservas
Pasta de presunto em conserva,Enlatados e conservas
Pasta de galinha em conserva,Enlatados e conservas
Carne bovina em conserva,Enlatados e conservas
Almôndega ,Enlatados e conservas
Kitute bovino,Enlatados e conservas
Almôndega ao molho em conserva,Enlatados e conservas
Kitute suíno,Enlatados e conservas
Presuntada,Enlatados e conservas
Fiambre ,Enlatados e conservas
Salsicha em conserva,Enlatados e conservas
Sardinha em conserva,Enlatados e conservas
Atum em conserva,Enlatados e conservas
Pepino em conserva,Enlatados e conservas
Pasta de peixe em conserva,Enlatados e conservas
Picles,Enlatados e conservas
Nabo em conserva,Enlatados e conservas
Strogonoff ,Enlatados e conservas
Salmão em conserva,Enlatados e conservas
Creme de cebola (sopa desidratada) light,Enlatados e conservas
Creme de legumes (sopa desidratada) light,Enlatados e conservas
Yakissoba (sopa de legumes desidratada) light,Enlatados e conservas
Atum em conserva light,Enlatados e conservas
Frango inteiro,Aves e ovos  
Parte de galinha ou frango não especificada,Aves e ovos  
Frango em pedaços,Aves e ovos  
Galinha em pedaços ,Aves e ovos  
Carne de galinha ,Aves e ovos  
Peito de galinha ou frango,Aves e ovos  
Filé de frango,Aves e ovos  
Carcaça de galinha ou frango,Aves e ovos  
Asa de galinha ou frango,Aves e ovos  
Drumete de galinha ou frango,Aves e ovos  
Pescoço de galinha ou frango,Aves e ovos  
Pé de galinha ou frango,Aves e ovos  
Miúdo de galinha ou frango ,Aves e ovos  
Moela de galinha ou frango,Aves e ovos  
Coração de frango,Aves e ovos  
Fígado de galinha ou frango,Aves e ovos  
Canja ,Aves e ovos  
Peru em pedaço não especificado,Aves e ovos  
Peito de peru,Aves e ovos  
Asa de peru,Aves e ovos  
Chester ,Aves e ovos  
Tender,Aves e ovos  
Nambu ,Aves e ovos  
Nuggets de frango,Aves e ovos  
Steak de frango,Aves e ovos  
Codorna,Aves e ovos  
Pé e asa de galinha ou frango,Aves e ovos  
Ovo de galinha,Aves e ovos  
Ovo de codorna,Aves e ovos  
"Galinha-d'angola abatida, congelada ou viva",Aves e ovos  
Capote ,Aves e ovos  
Mutum ,Aves e ovos  
Pato em pedaços,Aves e ovos  
Peito de pato,Aves e ovos  
Carne de pato ,Aves e ovos  
Peito de peru light,Aves e ovos  
Frango inteiro orgânico,Aves e ovos  
Filé de frango orgânico,Aves e ovos  
Leite de vaca integral,Laticínios
Leite de vaca fresco ,Laticínios
Leite de cabra,Laticínios
Leite em pó integral,Laticínios
Leite em pó desnatado,Laticínios
Leite em pó ,Laticínios
Leite condensado,Laticínios
Leite beijinho,Laticínios
Creme de leite,Laticínios
Chantilly,Laticínios
Iogurte de qualquer sabor,Laticínios
Iogurte desnatado,Laticínios
Iogurte natural,Laticínios
Yakult de qualquer sabor,Laticínios
Bebida láctea,Laticínios
Leite fermentado,Laticínios
Coalhada,Laticínios
Manteiga com ou sem sal,Laticínios
Manteiga de garrafa,Laticínios
Margarina com ou sem sal,Laticínios
Queijo prato,Laticínios
Queijo colonial,Laticínios
Queijo de colônia,Laticínios
Queijo muçarela,Laticínios
